DATABASE ID,ENGLISH,SPANISH,TURKISH,JAPANESE,CHINESE,ITALIAN,FRENCH,GERMAN,RUSSIAN,DUTCH,HEBREW,ARABIC,GREEK,PORTUGUESE,HINDI,KOREAN
4,Angola,Angola,Angora,アンゴラ,安哥拉,Angola,Angola,Angola,Ангола,Angola,אנגולה,أنغولا,Ανγκόλα,Angola,अंगोला,앙골라
15,Burundi,Burundi,Burundi,ブルンジ,布隆迪,Burundi,Burundi,Burundi,Бурунди,Boeroendi,בורונדי,بوروندي,Μπουρούντι,Burundi,बुरुंडी,부룬디
17,Benin,Benin,Benin,ベナン,贝宁,Benin,Bénin,Benin,Бенин,Benin,בנין,بنين,Μπενίν,Benin,बेनिन,베냉
18,Burkina Faso,Burkina Faso,Burkina Faso,ブルキナファソ,布基纳法索,Burkina Faso,Burkina Faso,Burkina Faso,Буркина-Фасо,Burkina Faso,בורקינה פאסו,بوركينا فاسو,Μπουρκίνα Φάσο,Burkina Faso,बुर्किना फासो,부르 키 나 ​​파소
32,Botswana,Botswana,Botsvana,ボツワナ,博茨瓦纳,Botswana,Botswana,Botswana,Ботсвана,Botswana,בוטסואנה,بوتسوانا,Μποτσουάνα,Botswana,बोत्सवाना,보츠와나
33,Central African Republic,República Centroafricana,Orta Afrika Cumhuriyeti,中央アフリカ共和国,中非共和国,Repubblica Centrafricana,République centrafricaine,Zentralafrikanische Republik,Центрально-Африканская Республика,Centraal-Afrikaanse Republiek,הרפובליקה המרכז אפריקאית,جمهورية افريقيا الوسطى,Κεντροαφρικανική Δημοκρατία,Central Africano República,मध्य अफ्रीकी गणराज्य,중앙 아프리카 공화국
39,Cote d'Ivoire,Costa de Marfil,Fildişi Sahili,コー​​トジボワール,科特迪瓦,Costa d'Avorio,Côte d'Ivoire,Cote d'Ivoire,Берег Слоновой Кости,Cote d'Ivoire,חוף השנהב,كوت ديفوار,Ακτή του Ελεφαντοστού,Cote d'Ivoire,कोटे डी आइवर,코트 디부 아르
40,Cameroon,Camerún,Kamerun,カメルーン,喀麦隆,Camerun,Cameroun,Kamerun,Камерун,Kameroen,קמרון,الكاميرون,Καμερούν,Camarões,कैमरून,카메룬
41,"Congo, Republic","Congo, República",Kongo Cumhuriyeti,コンゴ共和国,刚果共和国,"Congo, Repubblica","Congo, République","Kongo, Republik",Республика Конго,"Congo, Republiek","קונגו, הרפובליקה",الكونغو، جمهورية,"Κονγκό, Δημοκρατία","Congo, República",कांगो गणराज्य,콩고 공화국
43,Comoros,Las Comoras,Komorlar,コモロ,科摩罗,Comore,Comores,Komoren,Коморские острова,Comoren,איי קומורו,جزر القمر,Κομόρες,Comores,कोमोरोज़,코모 로스
44,Cape Verde,Cabo Verde,Cape Verde,カーボベルデ,佛得角,Capo Verde,Le Cap-Vert,Kap Verde,Кабо-Верде,Kaapverdië,קייפ ורדה,الرأس الأخضر,Πράσινο Ακρωτήριο,Cabo Verde,केप वर्ड,카보베르데
63,Eritrea,Eritrea,Eritre,エリトリア,厄立特里亚,Eritrea,L'Erythrée,Eritrea,Эритрея,Eritrea,אריתריאה,اريتريا,Ερυθραία,Eritreia,इरीट्रिया,에리트레아
66,Ethiopia,Etiopía,Etiyopya,エチオピア,埃塞俄比亚,Etiopia,Ethiopie,Äthiopien,Эфиопия,Ethiopië,אתיופיה,أثيوبيا,Αιθιοπία,Etiópia,इथियोपिया,에티오피아
72,Gabon,Gabón,Gabon,ガボン,加蓬,Gabon,Gabon,Gabun,Габон,Gabon,גבון,الجابون,Γκαμπόν,Gabão,गैबन,가봉
75,Ghana,Ghana,Gana,ガーナ,加纳,Ghana,Ghana,Ghana,Гана,Ghana,גאנה,غانا,Γκάνα,Gana,घाना,아프리카 서부의 공화국
77,Guinea,Guinea,Gine,ギニー,几内亚,Guinea,Guinée,Guinea,Гвинея,Guinea,גיני,غينيا,Γουινέα,Guiné,गिनी,기니
78,"Gambia, The","Gambia, The","Gambiya,",ガンビア、,冈比亚，,"Gambia, The","Gambie, Le","Gambia,","Гамбии,","Gambia, The","גמביה,",غامبيا،,"Γκάμπια, η",Gâmbia,"गाम्बिया,","감비아,"
79,Guinea-Bissau,Guinea-Bissau,Gine-Bissau,ギニアビサウ,几内亚比绍,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,Гвинея-Бисау,Guinee-Bissau,גינאה ביסאו,غينيا بيساو,Γουινέα-Μπισάου,Guiné-Bissau,गिन्नी - बिसाउ,기니 비사우
